painting_name,painting_time,museum_name,type,painting_url,painter_name,painter_hash
蒙娜丽莎,1503,法国巴黎罗浮宫美术馆,板画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30369-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
最后的晚餐,1452,达芬奇博物馆,油画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30370-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
岩间圣母,1506,英国伦敦国家画廊,油画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30371-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
施洗者圣约翰,1513,法国巴黎罗浮宫美术馆,板画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30372-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
圣母子与圣安娜,1510,法国巴黎罗浮宫美术馆,粉笔,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30374-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
圣母子与和圣安妮及小施洗者圣约翰,1507,英国伦敦国家画廊,粉笔,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30376-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
美丽的费蓉妮叶,1490,法国巴黎罗浮宫美术馆,板画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30380-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
持花的圣母,1478,圣彼得堡,油画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30385-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
吉尼芙拉得本奇肖像,1476,华盛顿国家艺术画廊,油画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30387-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
天使报喜,1472,乌费兹美术馆,版画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30388-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
维特鲁威人比例研究,1492,阿卡德米亚美术馆,钢笔,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30389-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
一个老人的形象研习,1492,乌费兹美术馆,钢笔,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30390-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
勒达,1530,柏林博物馆,油画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30391-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
圣母玛利亚与亚恩温德,1510,私人,油画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30393-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
旷野中的圣约翰,1510,法国巴黎罗浮宫美术馆,版画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30394-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
勒达与天鹅,1505,英国威灵顿博物馆,版画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30396-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
拈花圣母,1472,华盛顿国家艺术画廊,版画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30398-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
女人头像,1508,英国伦敦皇家图书馆,粉笔,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30399-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
少女头像,1508,意大利帕尔马画廊,版画,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30375-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
基督肖像,1494,意大利米兰布雷拉画廊,粉笔,"http://www.youhuadaquan.org/images-small/Leonardo%20da%20Vinci/30379-Vinci,%20Leonardo%20da.jpg",莱昂纳多·达·芬奇,1
星夜,1889,纽约现代艺术博物馆,油画,"http://www.youhuadaquan.org/images-small/Vincent%20van%20Gogh/23438-Gogh,%20Vincent%20van.jpg",文森特·威廉·梵高,2
乌云密布的天空和麦田上的乌鸦,1890,荷兰梵高博物馆,油画,"http://www.youhuadaquan.org/images-small/Vincent%20van%20Gogh/23439-Gogh,%20Vincent%20van.jpg",文森特·威廉·梵高,2
收割者,1889, 弗克旺博物馆,油画,"http://www.youhuadaquan.org/images-small/Vincent%20van%20Gogh/23441-Gogh,%20Vincent%20van.jpg",文森特·威廉·梵高,2
梵高的卧室,1889,芝加哥艺术协会,油画,"http://www.youhuadaquan.org/images-small/Vincent%20van%20Gogh/23442-Gogh,%20Vincent%20van.jpg",文森特·威廉·梵高,2
橄榄树,1889,荷兰国家博物馆,油画,"http://www.youhuadaquan.org/images-small/Vincent%20van%20Gogh/23443-Gogh,%20Vincent%20van.jpg",文森特·威廉·梵高,2
向日葵,1888,公共收藏,油画,"http://www.youhuadaquan.org/images-small/Vincent%20van%20Gogh/23448-Gogh,%20Vincent%20van.jpg",文森特·威廉·梵高,2
播种者,1888,荷兰梵高博物馆,油画,"http://www.youhuadaquan.org/images-small/Vincent%20van%20Gogh/23451-Gogh,%20Vincent%20van.jpg",文森特·威廉·梵高,2
咖啡馆女歌手,1878,美国哈佛大学福格艺术博物馆,粉笔,"https://www.youhuadaquan.org/images-small/Edgar%20Degas/21565-Degas,%20Edgar.jpg",埃德加·德加,3
新奥尔良棉花事务所,1873,法国巴黎奥赛博物馆,油画,"https://www.youhuadaquan.org/images-small/Edgar%20Degas/21566-Degas,%20Edgar.jpg",埃德加·德加,3
狗之歌,1876,私人,水粉,"https://www.youhuadaquan.org/images-small/Edgar%20Degas/21567-Degas,%20Edgar.jpg",埃德加·德加,3
舞台上的芭蕾舞排演,1874,法国巴黎奥赛博物馆,油画,"https://www.youhuadaquan.org/images-small/Edgar%20Degas/21568-Degas,%20Edgar.jpg",埃德加·德加,3
舞蹈课,1874,私人,油画,"https://www.youhuadaquan.org/images-small/Edgar%20Degas/21569-Degas,%20Edgar.jpg",埃德加·德加,3
乐团的音乐家,1870,德国黑森州法兰克福,油画,"https://www.youhuadaquan.org/images-small/Edgar%20Degas/21571-Degas,%20Edgar.jpg",埃德加·德加,3
兄弟之爱,1851,波士顿美术馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21083-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
舞蹈,1856,法国巴黎奥赛博物馆,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21084-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
春天,1858,私人,油画,"http://www.youhuadaquan.org/images-small/William%20Adolphe%20Bouguereau/21085-Bouguereau,%20William-Adolphe.jpg",威廉·阿道夫·布格罗,4
